City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ilulissat,0,GL,1595007795,52,69.22,-51.1,47.48,7.14
Hofn,75,IS,1595007795,50,64.25,-15.21,57.2,20.8
Jamestown,40,US,1595007656,60,42.1,-79.24,78.01,11.41
Ponta Delgada,75,PT,1595007218,73,37.73,-25.67,69.8,10.29
Hilo,90,US,1595007795,83,19.73,-155.09,73.4,4.7
Rikitea,100,PF,1595007796,83,-23.12,-134.97,73.31,11.48
George Town,20,MY,1595007543,94,5.41,100.34,78.8,3.36
Port Blair,98,IN,1595007199,81,11.67,92.75,80.65,8.3
Albany,87,US,1595007618,92,42.6,-73.97,75.99,1.01
Nanortalik,0,GL,1595007223,54,60.14,-45.24,49.3,13.18
Sturgeon Falls,20,CA,1595007796,61,46.36,-79.93,81.0,17.22
Busselton,84,AU,1595007796,74,-33.65,115.33,46.0,9.55
Torbay,90,CA,1595007796,100,47.67,-52.73,53.01,18.34
Ushuaia,0,AR,1595007690,92,-54.8,-68.3,30.2,1.7
Kapaa,40,US,1595007591,100,22.08,-159.32,79.0,4.7
Potam,5,MX,1595007797,36,27.6,-110.38,97.0,5.82
East London,0,ZA,1595007797,49,-33.02,27.91,63.68,8.55
Airai,23,TL,1595007797,100,-8.93,125.41,56.34,3.22
Mataura,0,NZ,1595007797,97,-46.19,168.86,28.71,2.3
Hobart,83,AU,1595007601,80,-42.88,147.33,41.0,8.05
Pevek,78,RU,1595007797,92,69.7,170.31,41.81,1.7
Bluff,33,NZ,1595007797,88,-46.6,168.33,35.87,5.5
Hermanus,0,ZA,1595007797,52,-34.42,19.23,62.31,5.7
Gushi,0,CN,1595007798,72,34.64,109.58,72.34,4.7
New Norfolk,93,AU,1595007798,91,-42.78,147.06,37.99,2.82
Poya,0,NC,1595007798,69,-21.35,165.15,60.82,1.74
Krasnyy Chikoy,48,RU,1595007798,79,50.36,108.75,45.07,2.55
Kavaratti,100,IN,1595007228,81,10.57,72.64,83.05,22.03
Constitución,100,CL,1595006981,92,-35.33,-72.42,54.9,21.99
Hithadhoo,100,MV,1595007541,76,-0.6,73.08,84.0,10.31
Ndélé,82,CF,1595007798,93,8.41,20.65,72.43,2.89
Rāvar,9,IR,1595007799,19,31.27,56.81,86.09,9.1
Butaritari,2,KI,1595007799,78,3.07,172.79,82.45,15.43
Dongsheng,36,CN,1595007799,76,39.82,109.98,62.49,5.21
Vaini,75,TO,1595007799,94,-21.2,-175.2,73.4,6.93
Cape Town,0,ZA,1595007597,39,-33.93,18.42,66.2,10.29
Lewisporte,75,CA,1595007799,34,49.25,-55.05,75.99,12.75
Zhangaözen,14,KZ,1595007204,25,43.3,52.8,88.09,10.67
Alofi,75,NU,1595007799,94,-19.06,-169.92,71.6,6.93
Bredasdorp,0,ZA,1595007734,66,-34.53,20.04,55.4,3.36
Saint-Philippe,75,RE,1595007800,72,-21.36,55.77,68.0,6.93
Punta Arenas,75,CL,1595007800,86,-53.15,-70.92,30.2,8.05
Nagato,40,JP,1595007800,88,34.38,131.2,71.6,5.82
Norman Wells,20,CA,1595007800,68,65.28,-126.83,66.2,2.24
Kuvshinovo,82,RU,1595007800,88,57.03,34.17,56.26,3.02
Māngrol,65,IN,1595007800,84,21.12,70.12,83.79,13.56
Kungurtug,78,RU,1595007800,76,50.6,97.52,47.16,1.86
Manokwari,17,ID,1595007800,74,-0.87,134.08,79.52,5.5
Deputatsky,19,RU,1595007801,89,69.3,139.9,36.52,4.07
Nouadhibou,75,MR,1595007801,83,20.93,-17.03,73.4,20.8
